"STATION","NAME","DATE","TMAX","TMIN"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-18","56","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-19","64","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-20","63","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-21","59","31"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-22","61","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-23","52","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-24","56","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-25","56","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-26","56","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-27","61","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-28","69","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-29","81","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-30","79",
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-03-31","63","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-01","58","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-02","58","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-03","55","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-04","56","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-05","58","27"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-06","59","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-07","68","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-08","68","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-09","74","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-10","64","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-11",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-12",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-13","59","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-14","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-15","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-16","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-17","60","35"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-18","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-19","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-20","60","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-21","59","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-22",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-23",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-24","59","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-25","56","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-26","59","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-27",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-28","60","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-29","57","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-04-30","57","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-01","57","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-02","57","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-03","55","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-04","56","41"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-05","56","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-06","55","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-07","59","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-08","59","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-09","59","51"
